Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Aditya Birla Sun Life Medium Term Plan - Regular Plan - Growth,Regular,Medium Duration Fund,3,1890.52,0%,1%,2%,3%,0%,7%,15%,13%,8%,9%
Kotak Bond Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,5,1771.13,0%,1%,2%,3%,0%,8%,5%,5%,8%,8%
ICICI Prudential Bond Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,4,2921.2,0%,1%,2%,4%,0%,8%,6%,5%,8%,8%
Kotak Bond Fund - Regular Plan - Growth,Regular,Medium to Long Duration Fund,4,1771.13,0%,1%,2%,3%,0%,7%,4%,4%,7%,7%
ICICI Prudential Bond Fund - Growth,Regular,Medium to Long Duration Fund,5,2921.2,0%,1%,2%,3%,0%,8%,5%,4%,7%,8%
UTI Medium to Long Duration Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,1,302.91,0%,1%,1%,2%,0%,7%,8%,9%,5%,7%
UTI Medium to Long Duration Fund - Growth,Regular,Medium to Long Duration Fund,1,302.91,0%,1%,1%,2%,0%,6%,8%,9%,4%,6%
SBI Magnum Income Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,2,1697.31,0%,1%,2%,3%,0%,8%,6%,5%,8%,9%
SBI Magnum Income Fund - Regular Plan - Growth,Regular,Medium to Long Duration Fund,2,1697.31,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
Nippon India Income Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,4,265.58,0%,1%,2%,3%,0%,8%,6%,5%,8%,8%
Aditya Birla Sun Life Income Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,3,1742.54,0%,1%,2%,3%,0%,7%,5%,5%,8%,8%
Aditya Birla Sun Life Income Fund - Regular Plan - Growth,Regular,Medium to Long Duration Fund,3,1742.54,0%,1%,2%,2%,0%,6%,4%,4%,7%,8%
Aditya Birla Sun Life Income Fund - Regular Plan - Discipline Advantage Plan,Regular,Medium to Long Duration Fund,,1742.54,0%,1%,2%,2%,0%,6%,4%,4%,7%,8%
Bandhan Bond Fund - Income Plan - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,3,488.63,0%,1%,2%,2%,0%,6%,4%,3%,7%,8%
Nippon India Income Fund - Growth,Regular,Medium to Long Duration Fund,4,265.58,0%,1%,2%,2%,0%,7%,5%,4%,7%,7%
Sundaram Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,9293.43,2%,6%,15%,28%,0%,41%,22%,27%,19%,20%
Motilal Oswal Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,6804.62,0%,5%,14%,23%,0%,42%,26%,36%,26%,
Bajaj Finserv Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,,1519.88,0%,1%,2%,,0%,,,,,
Axis Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,4,7536.86,0%,1%,2%,4%,0%,8%,6%,5%,,
Tata Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,1,15940.43,0%,1%,2%,4%,0%,8%,6%,6%,6%,6%
ICICI Prudential Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,3,14608.2,0%,1%,2%,4%,0%,8%,6%,5%,6%,7%
Tata Money Market Fund - Regular Plan - Growth,Regular,Money Market Fund,1,15940.43,0%,1%,2%,4%,0%,7%,6%,5%,6%,6%
UTI Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,4,12554.04,0%,1%,2%,4%,0%,8%,6%,5%,6%,7%
Axis Money Market Fund - Growth,Regular,Money Market Fund,4,7536.86,0%,1%,2%,4%,0%,7%,6%,5%,,
ICICI Prudential Money Market Fund - Growth,Regular,Money Market Fund,3,14608.2,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
SBI Savings Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,1,19355.97,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
UTI Money Market Fund - Regular Plan - Growth,Regular,Money Market Fund,5,12554.04,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Aditya Birla Sun Life Money Manager Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,3,17669.68,0%,1%,2%,4%,0%,8%,6%,6%,6%,7%
Nippon India Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,4,12072.43,0%,1%,2%,4%,0%,8%,6%,6%,6%,7%
PGIM India Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,,285.48,0%,1%,2%,4%,0%,8%,6%,5%,,
Bandhan Money Manager Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,3,3507.26,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Kotak Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,2,16738.63,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Invesco India Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,3,3370.95,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Aditya Birla Sun Life Money Manager Fund - Growth,Regular,Money Market Fund,3,17669.68,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
DSP Savings Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,3,4495.84,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Edelweiss Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,2,367.69,0%,1%,2%,4%,0%,7%,6%,5%,7%,8%
Franklin India Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,5,1637.27,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Nippon India Money Market Fund - Growth,Regular,Money Market Fund,4,12072.43,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Kotak Money Market Fund - Growth,Regular,Money Market Fund,2,16738.63,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Bajaj Finserv Money Market Fund - Regular Plan -  Growth,Regular,Money Market Fund,,1519.88,0%,1%,2%,,0%,,,,,
HSBC Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,5,1328.09,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
HDFC Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,2,17450.6,0%,1%,2%,4%,0%,8%,6%,5%,6%,7%
Franklin India Money Market Fund - Growth,Regular,Money Market Fund,4,1637.27,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
DSP Savings Fund - Regular Plan - Growth,Regular,Money Market Fund,3,4495.84,0%,1%,2%,3%,0%,7%,6%,5%,6%,6%
PGIM India Money Market Fund - Growth,Regular,Money Market Fund,,285.48,0%,1%,2%,3%,0%,7%,6%,5%,,
Invesco India Money Market Fund - Growth,Regular,Money Market Fund,3,3370.95,0%,1%,2%,3%,0%,7%,5%,5%,5%,7%
HDFC Money Market Fund - Growth,Regular,Money Market Fund,3,17450.6,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
SBI Savings Fund - Regular Plan - Growth,Regular,Money Market Fund,1,19355.97,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
HSBC Money Market Fund - Growth,Regular,Money Market Fund,5,1328.09,0%,1%,2%,3%,0%,7%,6%,5%,5%,7%
Edelweiss Money Market Fund - Regular Plan - Growth,Regular,Money Market Fund,2,367.69,0%,1%,2%,3%,0%,6%,5%,4%,6%,7%
Bandhan Money Manager Fund - Regular Plan - Growth,Regular,Money Market Fund,2,3507.26,0%,1%,2%,3%,0%,7%,5%,5%,5%,6%
LIC MF Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,797.79,0%,1%,2%,3%,0%,7%,6%,5%,,
HDFC Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,9863.94,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
HSBC Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,3275.33,0%,1%,2%,3%,0%,7%,6%,5%,,
Axis Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,9845.92,0%,1%,2%,3%,0%,7%,6%,5%,,
DSP Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,3013.05,0%,1%,2%,3%,0%,7%,6%,5%,,
Nippon India Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,8533.6,0%,1%,2%,3%,0%,7%,6%,5%,5%,
UTI Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,6969.37,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
Aditya Birla Sun Life Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,8144.41,0%,1%,2%,3%,0%,7%,6%,5%,5%,
Axis Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,9845.92,0%,1%,2%,3%,0%,7%,6%,5%,,
Mirae Asset Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,2408.04,0%,1%,2%,3%,0%,7%,6%,5%,,
Kotak Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,6398.67,0%,1%,2%,3%,0%,7%,6%,5%,,
Bandhan Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,1744.4,0%,1%,2%,3%,0%,7%,6%,5%,,
Tata Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,3645.17,0%,1%,2%,3%,0%,7%,6%,5%,,
Sundaram Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,983.8,0%,1%,2%,3%,0%,7%,6%,5%,,
UTI Overnight Fund - Growth,Regular,Overnight Fund,,6969.37,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
Invesco India Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,918.86,0%,1%,2%,3%,0%,7%,6%,5%,,
Union Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,202.69,0%,1%,2%,3%,0%,7%,6%,5%,,
HSBC Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,3275.33,0%,1%,2%,3%,0%,7%,6%,5%,,
Franklin India Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,351.56,0%,1%,2%,3%,0%,7%,6%,5%,,
HDFC Overnight Fund - Growth,Regular,Overnight Fund,,9863.94,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
DSP Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,3013.05,0%,1%,2%,3%,0%,7%,6%,5%,,
Edelweiss Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,434.16,0%,1%,2%,3%,0%,7%,6%,5%,,
Bajaj Finserv Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,442.99,0%,1%,2%,,0%,,,,,
ICICI Prudential Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,11753.64,0%,1%,2%,3%,0%,7%,6%,5%,5%,
ICICI Prudential Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,14967.76,0%,1%,2%,3%,0%,7%,6%,5%,5%,
LIC MF Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,797.79,0%,1%,2%,3%,0%,7%,6%,5%,,
Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,1008.38,0%,1%,2%,3%,0%,7%,6%,5%,,
SBI Overnight Fund - Direct Plan - Growth,Direct Plan,Overnight Fund,,16533.36,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
Nippon India Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,8533.6,0%,1%,2%,3%,0%,7%,6%,5%,5%,
Mirae Asset Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,2408.04,0%,1%,2%,3%,0%,7%,6%,5%,,
Franklin India Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,351.56,0%,1%,2%,3%,0%,7%,6%,5%,,
Bajaj Finserv Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,442.99,0%,1%,2%,,0%,,,,,
Invesco India Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,918.86,0%,1%,2%,3%,0%,7%,6%,5%,,
Aditya Birla Sun Life Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,8144.41,0%,1%,2%,3%,0%,7%,6%,5%,5%,
Edelweiss Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,434.16,0%,1%,2%,3%,0%,7%,6%,5%,,
Bandhan Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,1744.4,0%,1%,2%,3%,0%,7%,6%,5%,,
Kotak Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,6398.67,0%,1%,2%,3%,0%,7%,6%,5%,,
Sundaram Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,983.8,0%,1%,2%,3%,0%,7%,6%,5%,,
Union Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,202.69,0%,1%,2%,3%,0%,7%,6%,5%,,
Tata Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,3645.17,0%,1%,2%,3%,0%,7%,6%,5%,,
ICICI Prudential Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,11753.64,0%,1%,2%,3%,0%,7%,6%,5%,5%,
ICICI Prudential Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,14967.76,0%,1%,2%,3%,0%,7%,6%,5%,5%,
SBI Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,3,16533.36,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
Baroda BNP Paribas Overnight Fund - Regular Plan - Growth,Regular,Overnight Fund,,1008.38,0%,1%,2%,3%,0%,7%,6%,5%,,
Sundaram Services Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,,3040.3,1%,4%,11%,18%,0%,29%,16%,26%,23%,
ICICI Prudential Short Term Fund - Direct Fund - Growth,Direct Plan,Short Duration Fund,4,18806.99,0%,1%,2%,4%,0%,8%,7%,6%,8%,9%
HSBC Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,1,3379.77,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
ICICI Prudential Short Term Fund - Growth,Regular,Short Duration Fund,5,18806.99,0%,1%,2%,4%,0%,7%,6%,5%,7%,8%
Kotak Bond Short Term Plan - Direct Plan - Growth,Direct Plan,Short Duration Fund,3,13558.3,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
Bandhan Bond Fund - Short Term - Direct Plan - Growth,Direct Plan,Short Duration Fund,5,9260.66,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
Nippon India Short Term Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,3,6122.18,0%,1%,2%,4%,0%,8%,6%,6%,7%,8%
HSBC Short Duration Fund - Growth,Regular,Short Duration Fund,2,3379.77,0%,1%,2%,3%,0%,7%,5%,4%,6%,7%
SBI Short Term Debt Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,2,13478.19,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
Bandhan Bond Fund - Short Term - Regular Plan - Growth,Regular,Short Duration Fund,5,9260.66,0%,1%,2%,3%,0%,7%,5%,4%,6%,7%
Aditya Birla Sun Life Short Term Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,6020.58,0%,1%,2%,4%,0%,8%,6%,6%,8%,8%
HDFC Short Term Debt Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,3,12285.42,0%,1%,2%,4%,0%,8%,6%,5%,7%,8%
Nippon India Short Term Fund - Growth,Regular,Short Duration Fund,3,6122.18,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
Kotak Bond Short Term Plan - Growth,Regular,Short Duration Fund,3,13558.3,0%,1%,2%,3%,0%,6%,5%,4%,6%,7%
SBI Short Term Debt Fund - Regular Plan - Growth,Regular,Short Duration Fund,3,13478.19,0%,1%,2%,3%,0%,7%,5%,4%,6%,7%
DSP Short Term Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,2,3032.43,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
UTI Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,2,2372.11,0%,1%,2%,4%,0%,8%,6%,7%,6%,7%
Axis Short Term Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,7702.11,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
HDFC Short Term Debt Fund - Growth,Regular,Short Duration Fund,4,12285.42,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
Invesco India Short Term Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,3,363.59,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
Tata Short Term Bond Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,3,2243.91,0%,1%,2%,3%,0%,8%,6%,5%,7%,7%
Aditya Birla Sun Life Short Term Fund - Regular Plan - Growth,Regular,Short Duration Fund,3,6020.58,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
Baroda BNP Paribas Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,1,234.33,0%,1%,2%,4%,0%,8%,6%,5%,7%,8%
DSP Short Term Fund - Regular Plan - Growth,Regular,Short Duration Fund,3,3032.43,0%,1%,2%,3%,0%,7%,5%,4%,6%,7%
Axis Short Term Fund - Growth,Regular,Short Duration Fund,4,7702.11,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
UTI Short Duration Fund - Institutional - Growth,Regular,Short Duration Fund,1,2372.11,0%,1%,2%,3%,0%,7%,5%,6%,5%,7%
Invesco India Short Term Fund - Growth,Regular,Short Duration Fund,2,363.59,0%,1%,2%,3%,0%,6%,4%,4%,6%,7%
Tata Short Term Bond Fund - Regular Plan - Growth,Regular,Short Duration Fund,2,2243.91,0%,1%,2%,3%,0%,7%,5%,4%,6%,6%
Baroda BNP Paribas Short Duration Fund - Regular Plan - Growth,Regular,Short Duration Fund,1,234.33,0%,1%,2%,3%,0%,7%,5%,5%,6%,7%
Canara Robeco Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,3,427.18,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
Mirae Asset Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,2,349.04,0%,1%,2%,3%,0%,7%,6%,5%,7%,
Canara Robeco Short Duration Fund - Regular Plan - Growth,Regular,Short Duration Fund,3,427.18,0%,1%,2%,3%,0%,6%,5%,4%,6%,6%
Mirae Asset Short Duration Fund - Regular Plan - Growth,Regular,Short Duration Fund,2,349.04,0%,1%,1%,3%,0%,6%,5%,4%,6%,
Sundaram Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,2877.59,1%,4%,13%,27%,0%,45%,20%,32%,23%,22%
SBI Magnum Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,3,11780.12,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
WhiteOak Capital Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,,298.1,0%,1%,2%,3%,0%,7%,6%,5%,,
SBI Magnum Ultra Short Duration Fund - Regular Plan - Growth,Regular,Ultra Short Duration Fund,3,11780.12,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
HSBC Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,5,2242.99,0%,1%,2%,4%,0%,7%,6%,5%,,
Bandhan Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,3,3283.11,0%,1%,2%,4%,0%,7%,6%,5%,6%,
DSP Ultra Short Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,2,2795.17,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Baroda BNP Paribas Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,1520.53,0%,1%,2%,4%,0%,7%,6%,5%,6%,
Tata Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,2,2181.29,0%,1%,2%,4%,0%,7%,6%,5%,,
UTI Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,1,2211.46,0%,1%,2%,4%,0%,7%,6%,6%,6%,7%
Mirae Asset Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,3,552.6,0%,1%,2%,4%,0%,7%,6%,5%,,
Nippon India Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,1,5946.05,0%,1%,2%,4%,0%,8%,7%,7%,6%,7%
Sundaram Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,2060.55,0%,1%,2%,4%,0%,7%,6%,5%,6%,6%
Bandhan Ultra Short Term Fund - Regular Plan - Growth,Regular,Ultra Short Duration Fund,4,3283.11,0%,1%,2%,3%,0%,7%,6%,5%,6%,
Baroda BNP Paribas Ultra Short Duration Fund - Growth,Regular,Ultra Short Duration Fund,5,1520.53,0%,1%,2%,4%,0%,7%,6%,5%,6%,
HSBC Ultra Short Duration Fund - Regular Plan - Growth,Regular,Ultra Short Duration Fund,5,2242.99,0%,1%,2%,3%,0%,7%,6%,5%,,
Kotak Savings Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,12471,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
HDFC Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,3,12666.01,0%,1%,2%,4%,0%,7%,6%,5%,6%,
WhiteOak Capital Ultra Short Duration Fund - Regular Plan - Growth,Regular,Ultra Short Duration Fund,,298.1,0%,1%,2%,3%,0%,6%,5%,5%,,
Mirae Asset Ultra Short Duration Fund - Regular Plan - Growth,Regular,Ultra Short Duration Fund,3,552.6,0%,1%,2%,4%,0%,7%,6%,5%,,
PGIM India Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,333.05,0%,1%,2%,4%,0%,7%,6%,5%,7%,8%
Axis Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,3,4745.16,0%,1%,2%,4%,0%,7%,6%,6%,6%,
Invesco India Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,3,696.43,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Aditya Birla Sun Life Savings Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,2,13397.3,0%,1%,2%,4%,0%,7%,6%,5%,6%,8%
ICICI Prudential Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,2,13529.87,0%,1%,2%,4%,0%,7%,6%,6%,7%,9%
Canara Robeco Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,5,484,0%,1%,2%,3%,0%,7%,6%,5%,5%,7%
HDFC Ultra Short Term Fund - Growth,Regular,Ultra Short Duration Fund,3,12666.01,0%,1%,2%,3%,0%,7%,6%,5%,6%,
UTI Ultra Short Duration Fund - Growth,Regular,Ultra Short Duration Fund,1,2211.46,0%,1%,2%,3%,0%,7%,6%,6%,5%,7%
Kotak Savings Fund - Growth,Regular,Ultra Short Duration Fund,4,12471,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
Aditya Birla Sun Life Savings Fund - Regular Plan - Growth,Regular,Ultra Short Duration Fund,3,13397.3,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
DSP Ultra Short Fund - Regular Plan - Growth,Regular,Ultra Short Duration Fund,2,2795.17,0%,1%,2%,3%,0%,7%,5%,5%,5%,6%
Tata Ultra Short Term Fund - Growth,Regular,Ultra Short Duration Fund,2,2181.29,0%,1%,2%,3%,0%,6%,5%,5%,,
Nippon India Ultra Short Duration Fund - Growth,Regular,Ultra Short Duration Fund,1,5946.05,0%,1%,2%,3%,0%,7%,6%,6%,5%,6%
ICICI Prudential Ultra Short Term Fund - Growth,Regular,Ultra Short Duration Fund,2,13529.87,0%,1%,2%,3%,0%,7%,6%,5%,6%,8%
PGIM India Ultra Short Duration Fund - Growth,Regular,Ultra Short Duration Fund,4,333.05,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
Canara Robeco Ultra Short Term Fund - Regular Plan - Growth,Regular,Ultra Short Duration Fund,4,484,0%,1%,2%,3%,0%,6%,5%,4%,5%,6%
Invesco India Ultra Short Term Fund - Growth,Regular,Ultra Short Duration Fund,3,696.43,0%,1%,2%,3%,0%,7%,5%,5%,5%,7%
Axis Ultra Short Term Fund - Regular Plan - Growth,Regular,Ultra Short Duration Fund,2,4745.16,0%,1%,2%,3%,0%,7%,5%,5%,5%,
Sundaram Ultra Short Duration Fund - Growth,Regular,Ultra Short Duration Fund,3,2060.55,0%,1%,2%,3%,0%,6%,5%,4%,5%,6%
UTI Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,1,7978.23,2%,6%,13%,20%,0%,27%,16%,21%,19%,16%
